#{"t_start": 1738749049.8012466, "env_id": "None"}
r,l,t
1328.169664,7,139.195175
1316.820968,7,139.319074
1334.742683,7,139.466032
1341.215462,7,139.612586
1301.573636,7,139.778586
1317.733102,7,139.94202
1309.749488,7,140.07605
1302.408972,7,140.210422
1294.595549,7,140.335959
1286.313957,7,140.481561
1296.718984,7,140.616139
1310.599467,7,140.769241
1322.698723,7,140.902328
1292.67369,7,141.03687
1360.055162,7,141.210517
1303.624537,7,141.353057
1332.600988,7,141.576139
1326.11752,7,141.718193
1287.401152,7,141.892063
1288.974582,7,142.046545
1278.097585,7,142.227929
1320.980565,7,142.368365
1313.9998,7,142.509143
1291.963568,7,142.640609
1275.730985,7,142.77185
1346.241222,7,142.926522
1272.334155,7,143.065825
1305.873627,7,143.196008
1313.882213,7,143.329646
1298.872692,7,143.458356
1285.201165,7,143.598534
1313.642751,7,143.739289
1315.715765,7,143.867882
1291.036507,7,144.020916
1337.58781,7,144.15752
1318.131252,7,144.320001
1306.050037,7,144.532716
1329.743369,7,144.689448
1297.952822,7,144.842577
1293.838322,7,144.968008
1321.25473,7,145.108426
1324.507486,7,145.247247
1321.213043,7,145.379435
1331.676551,7,145.507638
1291.832453,7,145.661655
1335.083282,7,145.830192
1288.245213,7,145.99124
1330.891929,7,146.14133
1351.112457,7,146.631477
1340.307539,7,146.782306
1327.940428,7,146.928622
1336.353209,7,147.055406
1322.967037,7,147.202283
1321.895095,7,147.362584
1285.377959,7,147.522634
1365.536196,7,147.682465
1305.939609,7,147.852491
1346.77669,7,147.997808
1331.210495,7,148.162167
1335.444181,7,148.307445
1293.296983,7,148.422593
1287.73926,7,148.557339
1315.45998,7,148.716314
1330.928953,7,148.879345
1378.571485,7,149.029379
1341.08083,7,149.174125
1319.499906,7,149.317402
1311.721428,7,149.459374
1310.585494,7,149.640128
1302.218987,7,149.862525
1316.094339,7,150.032355
1312.271754,7,150.170525
1311.925672,7,150.82679
1295.567765,7,150.995072
1315.66523,7,151.139899
1364.704343,7,151.276493
1298.58252,7,151.410253
1299.641915,7,151.551966
1326.047308,7,151.701458
1337.721644,7,151.843036
1314.995381,7,151.974046
1302.299617,7,152.11417
1333.635282,7,152.251209
1365.604249,7,152.39238
1298.411995,7,152.521852
1289.351201,7,152.661386
1345.666779,7,152.784127
1343.792583,7,152.92084
1304.944459,7,153.067483
1317.123271,7,153.199705
1290.364804,7,153.323789
1327.5039,7,153.485975
1318.54385,7,153.628459
1308.459894,7,153.755996
1302.954491,7,153.895184
1311.96521,7,154.028208
1263.80088,7,154.164324
1320.078976,7,154.287646
1319.705577,7,154.415698
1329.308039,7,154.56019
1314.556954,7,154.691588
1302.313314,7,154.834345
1284.985718,7,154.973434
1300.969377,7,155.106876
1351.94667,7,155.23737
1284.906852,7,155.374157
1282.899998,7,155.497841
1328.019907,7,155.664416
1289.668319,7,155.821279
